tconst,averagerating,numvotes
tt0176694,8,1404
tt0249516,1.3,12594
tt0293069,6.3,1528
tt0293429,6.1,202472
tt0384013,7.5,3835
tt0385887,6.8,65817
tt0398286,7.7,539096
tt0409379,6.1,10797
tt0420293,6.8,47895
tt0423455,6.3,11145
tt0439572,6.6,244820
tt0441881,6.8,16366
tt0443272,7.3,283233
tt0443331,4,2112
tt0443465,6.8,68303
tt0443533,6.3,1607
tt0458339,6.9,958152
tt0458413,6.3,35570
tt0458481,6.5,177819
tt0459748,6.7,4666
tt0463960,3.3,2042
tt0464154,5.5,101540
tt0464162,3.3,1912
tt0477302,6.9,107571
tt0478304,6.8,191428
tt0478970,7.2,772976
tt0482461,5.8,4671
tt0483586,6.3,1046
tt0496375,3.8,1797
tt0498381,4.5,45498
tt0498396,4.7,3874
tt0763831,5.9,47169
tt0770703,6.1,91436
tt0770802,8.4,39724
tt0770828,7.1,860797
tt0783640,6.8,15252
tt0787442,7.1,4746
tt0787474,6.8,64550
tt0787524,7.2,66316
tt0795459,6.6,1086
tt0795461,3.6,82669
tt0798817,6,45634
tt0800175,4.6,6906
tt0800320,5.8,303671
tt0800325,7,59953
tt0800369,7,957319
tt0808224,6.6,1409
tt0808245,7.4,1192
tt0808491,5.9,7748
tt0808510,5.1,52837
tt0810772,5,1571
tt0810819,7.1,205740
tt0810836,5.4,1190
tt0810913,3.3,95389
tt0810922,6.3,57452
tt0811124,3.9,1975
tt0811137,6,1852
tt0864835,6.8,83422
tt0865560,5.1,2566
tt0870154,6.5,225543
tt0892318,6.5,112196
tt0892769,8.1,882058
tt0892791,6.3,242986
tt0893412,5.5,16238
tt0903624,7.8,920953
tt0903657,7.4,45270
tt0905372,6.2,153681
tt0906778,6.2,2410
tt0907305,5.3,1099
tt0915463,5.3,1558
tt0918575,5.4,5293
tt0935075,6.9,52638
tt0959306,4.9,3511
tt0969345,6.9,1892
tt0969653,3.1,6601
tt0970179,7.5,347751
tt0970866,5.5,125254
tt0972544,6.3,5933
tt0980970,6.3,176226
tt0983193,7.3,253320
tt0983946,4.9,63338
tt0993840,5.8,199457
tt0993842,6.7,214064
tt0993846,8.2,1759230
tt0994917,5.5,1691
tt0995845,4.5,5416
tt0995854,6,3316
tt0995868,7.1,22961
tt10008784,6.3,4226
tt10009030,5.8,3766
tt10009170,7.5,28232
tt10011228,5.4,2847
tt10011296,6.9,1474
tt10011298,6.2,4560
tt10011306,6.8,1904
tt10011314,6.8,2155
tt10011336,6.3,1914
tt10011412,6.7,1388
tt10011448,8,2642
tt10011508,7.3,2295
tt10011518,6,1513
tt1001520,6.1,69046
tt10015244,4,6935
tt1001526,7.3,322012
tt10015286,6.5,2696
tt1001534,5.3,1322
tt10016180,6.3,139472
tt10016704,6.8,1275
tt10016724,6.4,3956
tt10016814,7.5,1179
tt10017956,6.8,2868
tt10022384,5.5,1115
tt10022716,5.9,1444
tt10023022,5.6,13112
tt10023024,4.7,11226
tt10023172,5.4,1526
tt10023178,1.5,7909
tt10023286,6.1,11775
tt10077998,6.5,1718
tt10078462,8.2,3359
tt10078772,5.2,42414
tt10080270,5.8,1724
tt10081762,6.1,6891
tt10083174,4.2,5463
tt10083340,7.8,66589
tt10083640,6.6,28304
tt10084190,6.2,2447
tt10085338,5.7,2054
tt10087444,7.4,2068
tt10088984,6.9,2823
tt10090796,7.1,6927
tt10091306,7.2,1716
tt10091530,5,3442
tt10091696,4.2,1066
tt10092170,6.1,1282
tt10092698,4.3,4395
tt10092752,5.2,3059
tt10182822,6.7,8110
tt10183542,2.9,1054
tt10183688,6.3,1071
tt10183816,5.4,19892
tt10183912,7.1,10668
tt10183988,8.4,13815
tt10186846,7.4,3485
tt10187208,6.7,31166
tt1018765,6.1,24017
tt10187680,6.8,6880
tt10187686,7.7,1377
tt10189300,7.5,8198
tt10189514,8.6,131162
tt10189536,4.7,3230
tt10192406,6.6,26493
tt10192566,5.1,5379
tt10192576,7.9,4977
tt10192704,5.4,7146
tt10193026,4.6,5071
tt10193046,5.3,2172
tt10193752,7.3,2036
tt10195452,7,4169
tt10195614,2.6,1519
tt10196140,6.4,1462
tt10196142,4.5,3197
tt10196368,7.6,3453
tt10196390,7.6,3138
tt10196398,6.7,7850
tt10196464,7.4,7105
tt10196620,4.9,1420
tt10213380,6.6,1474
tt10214496,7.1,1290
tt10214826,8.3,21805
tt10214842,4.2,1635
tt10215424,7.1,2024
tt10217550,7.3,3058
tt10218664,6.3,2776
tt10218674,5.7,1441
tt10218912,4.7,2932
tt10219146,7.2,1236
tt10219322,9,3405
tt10220588,8.1,17740
tt10222764,7.2,7292
tt10223460,6.1,47729
tt10224134,6.7,2214
tt10225224,6.1,1179
tt10228134,5.6,38915
tt10228168,6.7,8728
tt10228204,6.3,1440
tt10228230,7.3,8579
tt10229558,6.1,28662
tt10229598,6.7,3567
tt10229982,6.7,3613
tt10230404,4.5,6246
tt10230414,6.8,8623
tt10230422,5.8,6206
tt10230426,4,19125
tt10230436,7.5,1619
tt10230502,7.4,2110
tt10230994,5.7,30407
tt10303324,4,12386
tt10303430,5.5,11080
tt10303892,4.7,1709
tt10304142,6.2,106035
tt10305616,5.9,1530
tt10305992,6.5,2193
tt10306206,9,1294
tt10306228,6.9,2189
tt10307440,6,10514
tt10307724,5.5,4403
tt10308632,6.8,27339
tt10308634,7.4,1640
tt10308878,3.4,1641
tt10308928,4.6,14347
tt10309118,6,1356
tt10309552,5.5,5676
tt10309902,6.2,28917
tt10309906,5.8,11174
tt10310074,5.9,2093
tt10310096,7.5,1140
tt10310140,5.9,35247
tt10310222,6.2,2115
tt10311018,7.3,4069
tt10311562,6.8,5590
tt10311932,6.3,6090
tt10312668,8.2,3202
tt0315642,7.1,20766
tt0323808,3.8,3152
tt0326965,5.5,2196
tt0327785,5.8,20295
tt0359950,7.3,367389
tt0360556,5,25565
tt0376136,6.1,109901
tt0376479,6.1,19404
tt0377981,5.9,63322
tt0403645,4.3,4671
tt0403935,3.4,4745
tt0409847,6,240688
tt0411951,4.8,29510
tt0427152,5.9,115656
tt0427543,6.3,4876
tt0429087,7.4,17673
tt0429493,6.7,276406
tt0431021,5.9,65607
tt0435651,6.4,130132
tt0435761,8.3,959814
tt0437086,7.3,321130
tt0451279,7.3,731682
tt0452664,5.3,1106
tt0453562,7.5,107909
tt0454876,7.9,696021
tt0455323,6.4,18188
tt0455407,6.5,136659
tt0466893,6.5,19316
tt0469021,6.9,33985
tt0472181,5.4,103514
tt0472399,6.5,181774
tt0473075,6.5,315960
tt0475290,6.3,149144
tt0475784,8.4,555468
tt0477080,6.8,217796
tt0493076,5.4,3180
tt0493405,6,53819
tt0493949,6.5,21038
tt0762138,5.6,12775
tt0765446,5.8,27897
tt0768222,3.7,3333
tt0775440,4.5,32803
tt0775489,7.4,37468
tt0775543,6.2,1905
tt0790628,5.9,77939
tt0790636,7.9,544738
tt0790663,7.4,5032
tt0790724,7,388502
tt0790736,5.6,150713
tt0790770,6.4,10967
tt0790788,5.6,1981
tt0803061,7.3,20790
tt0803096,6.7,293327
tt0814255,5.9,213903
tt0815236,6.4,152062
tt0816442,7.5,147032
tt0816462,5.2,105554
tt0816692,8.7,2472243
tt0816711,7,775732
tt0817177,7.7,105684
tt0817230,5.8,129286
tt0817545,5.1,4400
tt0825283,3.6,4791
tt0831280,5.5,1636
tt0831387,6.4,461528
tt0837156,6.1,9771
tt0837562,7,309625
tt0837563,5.7,104133
tt0842926,7,137055
tt0848228,8,1544684
tt0848537,6.6,113823
tt0850677,4.5,3329
tt0857190,6.1,21087
tt0872230,4.8,22474
tt0881320,5.9,58545
tt0882977,6.4,95527
tt0883391,6.7,1007
tt0884214,4.2,1307
tt0884726,4.9,6526
tt0884732,6.6,84394
tt0887143,2.8,1146
tt0896872,7.1,37022
tt0899043,6.5,92574
tt0910885,5.2,8960
tt0914376,7.3,6950
tt0914863,7,99480
tt0929618,3.5,1594
tt0938283,3.9,180488
tt0938305,5.6,24332
tt0938330,4.9,70585
tt0944835,6.5,341460
tt0944947,9.2,2534038
tt0945513,7.5,578368
tt0961097,6.7,24021
tt0963966,6.1,175911
tt0974015,6,501903
tt0975645,6.8,83080
tt0985694,6.6,209129
tt1002563,5.7,4077
tt10027946,6.6,1084
tt10027990,6.5,1730
tt10028196,5.6,181221
tt10032342,7.7,1334
tt10036104,7.1,1883
tt10037014,5.9,11070
tt10037034,7.5,3223
tt10060094,5.6,22397
tt10062292,7.8,93017
tt10062338,5.3,1802
tt10062556,4.2,26436
tt10062614,5.4,4949
tt10062652,6.6,5067
tt10064124,7.1,3045
tt10065694,5.8,31615
tt10068158,7.4,1124
tt10068544,7.8,1399
tt10068916,8,7220
tt10068932,6.7,2700
tt10069166,3.9,1696
tt10069398,7.7,20297
tt1007029,6.4,116510
tt10072662,5.6,1034
tt10073114,8.8,3216
tt10075318,6.9,25664
tt10077034,4.2,3306
tt10077544,6.4,2208
tt10115562,6,2510
tt10116578,9.5,1958
tt10117768,6.8,1436
tt10121372,8.2,1419
tt10121392,4.6,48154
tt10121762,7,1027
