tconst,titletype,primarytitle,originaltitle,startyear,endyear,runtimeminutes,isadult,genre
tt0176694,movie,The Tragedy of Man,Az ember tragédiája,2011,,166,0,"Animation,Drama,History"
tt0249516,movie,Foodfight!,Foodfight!,2012,,91,0,"Adventure,Animation,Comedy"
tt0293069,movie,Dark Blood,Dark Blood,2012,,86,0,Thriller
tt0293429,movie,Mortal Kombat,Mortal Kombat,2021,,110,0,"Action,Adventure,Fantasy"
tt0384013,tvMiniSeries,The Crimson Petal and the White,The Crimson Petal and the White,2011,2011,69,0,"Drama,Romance"
tt0385887,movie,Motherless Brooklyn,Motherless Brooklyn,2019,,144,0,"Crime,Drama,Mystery"
tt0398286,movie,Tangled,Tangled,2010,,100,0,"Adventure,Animation,Comedy"
tt0409379,movie,In Secret,In Secret,2013,,107,0,"Crime,Drama,Thriller"
tt0420293,movie,The Stanford Prison Experiment,The Stanford Prison Experiment,2015,,122,0,"Biography,Drama,History"
tt0423455,tvMovie,Hemingway & Gellhorn,Hemingway & Gellhorn,2012,,155,0,"Biography,Drama,Romance"
tt0439572,movie,The Flash,The Flash,2023,,144,0,"Action,Adventure,Fantasy"
tt0441881,movie,Danger Close,Danger Close: The Battle of Long Tan,2019,,118,0,"Action,Drama,War"
tt0443272,movie,Lincoln,Lincoln,2012,,150,0,"Biography,Drama,History"
tt0443331,movie,Milenge Milenge,Milenge Milenge,2010,,109,0,"Drama,Romance"
tt0443465,movie,Before We Go,Before We Go,2014,,95,0,"Comedy,Drama,Romance"
tt0443533,movie,The History of Love,The History of Love,2016,,134,0,"Drama,Romance,War"
tt0458339,movie,Captain America: The First Avenger,Captain America: The First Avenger,2011,,124,0,"Action,Adventure,Sci-Fi"
tt0458413,movie,A Long Way Down,A Long Way Down,2014,,96,0,"Comedy,Drama"
tt0458481,movie,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,,102,0,"Action,Animation,Crime"
tt0459748,movie,Generation P,Generation P,2011,,112,0,"Comedy,Drama,Sci-Fi"
tt0463960,movie,The Devil You Know,The Devil You Know,2013,,76,0,"Mystery,Thriller"
tt0464154,movie,Piranha 3D,Piranha 3D,2010,,88,0,"Comedy,Horror"
tt0464162,movie,Komaram Puli,Komaram Puli,2010,,163,0,"Action,Crime,Thriller"
tt0477302,movie,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,2011,,129,0,"Adventure,Drama,Mystery"
tt0478304,movie,The Tree of Life,The Tree of Life,2011,,139,0,"Drama,Fantasy"
tt0478970,movie,Ant-Man,Ant-Man,2015,,117,0,"Action,Comedy,Sci-Fi"
tt0482461,movie,Barry Munday,Barry Munday,2010,,95,0,"Comedy,Drama,Romance"
tt0483586,movie,Chasing 3000,Chasing 3000,2010,,115,0,"Family,Sport"
tt0496375,movie,Prisoners of the Sun,Prisoners of the Sun,2013,,85,0,"Action,Adventure,Horror"
tt0498381,movie,Rings,Rings,2017,,102,0,"Drama,Horror,Mystery"
tt0498396,movie,The Twits,The Twits,2025,,98,0,"Adventure,Animation,Comedy"
tt0763831,movie,A Thousand Words,A Thousand Words,2012,,91,0,"Comedy,Drama,Fantasy"
tt0770703,movie,What's Your Number?,What's Your Number?,2011,,106,0,"Comedy,Romance"
tt0770802,movie,Samsara,Samsara,2011,,102,0,"Documentary,Music"
tt0770828,movie,Man of Steel,Man of Steel,2013,,143,0,"Action,Adventure,Sci-Fi"
tt0783640,movie,The Last Full Measure,The Last Full Measure,2019,,116,0,"Drama,War"
tt0787442,movie,The Attack,The Attack,2012,,102,0,"Crime,Drama,Mystery"
tt0787474,movie,The Boxtrolls,The Boxtrolls,2014,,96,0,"Adventure,Animation,Comedy"
tt0787524,movie,The Man Who Knew Infinity,The Man Who Knew Infinity,2015,,108,0,"Biography,Drama"
tt0795459,movie,Wilde Salomé,Wilde Salomé,2011,,90,0,"Documentary,Drama"
tt0795461,movie,Scary Movie 5,Scary Movie 5,2013,,86,0,"Comedy,Horror,Sci-Fi"
tt0798817,movie,13,13,2010,,91,0,"Crime,Drama,Thriller"
tt0800175,movie,Red Sonja,Red Sonja,2025,,110,0,"Action,Adventure,Drama"
tt0800320,movie,Clash of the Titans,Clash of the Titans,2010,,106,0,"Action,Adventure,Fantasy"
tt0800325,movie,The Dirt,The Dirt,2019,,107,0,"Biography,Comedy,Drama"
tt0800369,movie,Thor,Thor,2011,,115,0,"Action,Fantasy"
tt0808224,tvSeries,The Death of Bunny Munro,The Death of Bunny Munro,2025,2025,85,0,Drama
tt0808245,movie,A Letter to Elia,A Letter to Elia,2010,,60,0,Documentary
tt0808491,tvSeries,The Swarm,The Swarm,2023,2023,46,0,"Drama,Mystery,Sci-Fi"
tt0808510,movie,Tooth Fairy,Tooth Fairy,2010,,101,0,"Comedy,Family,Fantasy"
tt0810772,movie,Belle du Seigneur,Belle du Seigneur,2012,,104,0,"Drama,Romance"
tt0810819,movie,The Danish Girl,The Danish Girl,2015,,119,0,"Biography,Drama"
tt0810836,movie,Dirt Music,Dirt Music,2019,,105,0,"Crime,Drama,Romance"
tt0810913,movie,Jack and Jill,Jack and Jill,2011,,91,0,"Comedy,Family"
tt0810922,movie,Take Me Home Tonight,Take Me Home Tonight,2011,,97,0,"Comedy,Drama,Romance"
tt0811124,movie,The Lost Tribe,The Lost Tribe,2010,,100,0,"Adventure,Horror,Thriller"
tt0811137,movie,The Do-Deca-Pentathlon,The Do-Deca-Pentathlon,2012,,76,0,"Comedy,Sport"
tt0864835,movie,Mr. Peabody & Sherman,Mr. Peabody & Sherman,2014,,92,0,"Adventure,Animation,Comedy"
tt0865560,movie,Now & Later,Now & Later,2011,,99,0,Drama
tt0870154,movie,Jungle Cruise,Jungle Cruise,2021,,127,0,"Action,Adventure,Comedy"
tt0892318,movie,Letters to Juliet,Letters to Juliet,2010,,105,0,"Adventure,Comedy,Drama"
tt0892769,movie,How to Train Your Dragon,How to Train Your Dragon,2010,,98,0,"Action,Adventure,Animation"
tt0892791,movie,Shrek Forever After,Shrek Forever After,2010,,93,0,"Adventure,Animation,Comedy"
tt0893412,movie,From Prada to Nada,From Prada to Nada,2011,,107,0,"Action,Comedy,Drama"
tt0903624,movie,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,,169,0,"Adventure,Fantasy"
tt0903657,movie,Love & Mercy,Love & Mercy,2014,,121,0,"Biography,Drama,Music"
tt0905372,movie,The Thing,The Thing,2011,,103,0,"Horror,Mystery,Sci-Fi"
tt0906778,movie,Black Butterflies,Black Butterflies,2011,,100,0,"Biography,Drama"
tt0907305,movie,Prey,Proie,2010,,90,0,"Adventure,Drama,Horror"
tt0915463,movie,Jackboots on Whitehall,Jackboots on Whitehall,2010,,91,0,"Animation,Comedy,Sci-Fi"
tt0918575,movie,Victim,Victim,2010,,74,0,"Horror,Thriller"
tt0935075,movie,Rabbit Hole,Rabbit Hole,2010,,91,0,Drama
tt0959306,movie,Reach Me,Reach Me,2014,,95,0,"Comedy,Crime,Drama"
tt0969345,movie,Strange Frame: Love & Sax,Strange Frame: Love & Sax,2012,,98,0,"Animation,Crime,Music"
tt0969653,movie,White Wall,White Wall,2010,,91,0,"Action,Mystery,Sci-Fi"
tt0970179,movie,Hugo,Hugo,2011,,126,0,"Adventure,Drama,Family"
tt0970866,movie,Little Fockers,Little Fockers,2010,,98,0,"Comedy,Romance"
tt0972544,movie,Back Roads,Back Roads,2018,,101,0,"Crime,Drama,Thriller"
tt0980970,movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,,113,0,"Adventure,Family,Fantasy"
tt0983193,movie,The Adventures of Tintin,The Adventures of Tintin,2011,,107,0,"Action,Adventure,Animation"
tt0983946,movie,Fantasy Island,Fantasy Island,2020,,109,0,"Fantasy,Horror,Mystery"
tt0993840,movie,Army of the Dead,Army of the Dead,2021,,148,0,"Action,Adventure,Crime"
tt0993842,movie,Hanna,Hanna,2011,,111,0,"Action,Adventure,Drama"
tt0993846,movie,The Wolf of Wall Street,The Wolf of Wall Street,2013,,180,0,"Biography,Comedy,Crime"
tt0994917,movie,Adventure Scouts,Adventure Scouts,2010,,83,0,"Action,Adventure,Comedy"
tt0995845,movie,The Courier,The Courier,2012,,95,0,"Action,Crime,Drama"
tt0995854,movie,A Journal for Jordan,A Journal for Jordan,2021,,131,0,"Drama,Romance,War"
tt0995868,movie,Pele: Birth of a Legend,Pelé: Birth of a Legend,2016,,107,0,"Biography,Drama,Sport"
tt10008784,movie,Bull,Bull,2019,,108,0,Drama
tt10009030,movie,Snatchers,Snatchers,2019,,96,0,"Comedy,Horror,Sci-Fi"
tt10009170,tvSeries,Blood of Zeus,Blood of Zeus,2020,2025,30,0,"Action,Adventure,Animation"
tt10011228,movie,Hunted,Hunted,2020,,87,0,"Action,Horror,Thriller"
tt10011296,movie,Nomad: In the Footsteps of Bruce Chatwin,Nomad: In the Footsteps of Bruce Chatwin,2019,,85,0,"Biography,Documentary"
tt10011298,tvSeries,Dragon's Dogma,Dragon's Dogma,2020,2020,,0,"Action,Adventure,Animation"
tt10011306,tvMiniSeries,Spriggan,Spriggan,2022,2022,45,0,"Action,Adventure,Animation"
tt10011314,tvMiniSeries,Vampire in the Garden,Vampire in the Garden,2022,2022,25,0,"Action,Adventure,Animation"
tt10011336,movie,Lucky Grandma,Lucky Grandma,2019,,87,0,"Comedy,Crime,Drama"
tt10011412,movie,You Don't Nomi,You Don't Nomi,2019,,92,0,Documentary
tt10011448,movie,Linda Ronstadt: The Sound of My Voice,Linda Ronstadt: The Sound of My Voice,2019,,95,0,"Biography,Documentary,Music"
tt10011508,movie,Trixie Mattel: Moving Parts,Trixie Mattel: Moving Parts,2019,,91,0,Documentary
tt10011518,tvSeries,The Darkness,The Darkness,2024,,,0,Mystery
